Year,Duration,Rating,Votes,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_Unknown,Genre_War,Genre_Western,Director_Avg_Rating,Actor 1_Avg_Rating,Actor 2_Avg_Rating,Actor 3_Avg_Rating,Num_Genres,Decade_1940s,Decade_1950s,Decade_1960s,Decade_1970s,Decade_1980s,Decade_1990s,Decade_2000s,Decade_2010s
2019,109.0,7.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.85,7.0,7.0,1,False,False,False,False,False,False,False,True
2019,110.0,4.4,35.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.4,5.42,4.4,4.45,2,False,False,False,False,False,False,False,True
1997,147.0,4.7,827.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.358823529411764,4.788888888888889,5.786666666666666,5.846153846153846,3,False,False,False,False,False,True,False,False
2005,142.0,7.4,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.5,5.356,6.05,6.5,3,False,False,False,False,False,False,True,False
2012,82.0,5.6,326.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5.6,5.6,5.883333333333333,5.6,3,False,False,False,False,False,False,False,True
2014,116.0,4.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,4.55,4.0,3,False,False,False,False,False,False,False,True
2004,96.0,6.2,17.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,5.235294117647059,5.361538461538462,5.233333333333333,1,False,False,False,False,False,False,True,False
2016,120.0,5.9,59.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.95,5.779999999999999,5.9,5.9,1,False,False,False,False,False,False,False,True
1991,161.0,6.5,983.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4.79,5.123636363636364,5.7592592592592595,5.164285714285714,3,False,False,False,False,False,True,False,False
2012,166.0,5.7,512.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.7,6.300000000000001,5.7,5.7,3,False,False,False,False,False,False,False,True
2018,102.0,7.4,35.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.225,6.063247863247863,6.223076923076923,5.99,2,False,False,False,False,False,False,False,True
2010,87.0,6.3,162.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.975,6.3,6.3,6.933333333333334,3,False,False,False,False,False,False,True,False
1958,132.0,7.2,72.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.305555555555555,6.8999999999999995,6.815625,6.619047619047619,3,False,True,False,False,False,False,False,False
2021,105.0,4.4,63.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.491176470588235,5.303846153846154,6.075,5.225,2,False,False,False,False,False,False,False,False
2017,116.0,6.6,26.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,6.6,6.6,6.6,2,False,False,False,False,False,False,False,True
2009,146.0,7.3,35.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.3,6.883333333333333,6.3999999999999995,5.973333333333333,3,False,False,False,False,False,False,True,False
2005,116.0,7.1,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.816666666666666,6.730232558139535,6.975,6.34,1,False,False,False,False,False,False,True,False
1993,168.0,5.6,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.45,5.08,5.230434782608696,1,False,False,False,False,False,True,False,False
2002,158.0,6.9,35.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,5.5200000000000005,5.607692307692308,5.014285714285714,2,False,False,False,False,False,False,True,False
2014,126.0,3.5,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,5.361538461538462,4.18,1,False,False,False,False,False,False,False,True
1946,132.29447957614084,5.0,8.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.775,6.066666666666666,6.758333333333333,5.0,2,True,False,False,False,False,False,False,False
2004,94.0,4.5,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5.35,5.361538461538462,4.5,1,False,False,False,False,False,False,True,False
2008,138.0,6.4,35.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4.833333333333333,5.12,5.16,6.4,3,False,False,False,False,False,False,True,False
2016,120.0,4.1,35.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.6,4.74,4.1,4.1,2,False,False,False,False,False,False,False,True
2012,124.0,4.8,35.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.775,4.92,5.325,4.8,3,False,False,False,False,False,False,False,True
2018,144.0,4.5,35.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4.833333333333333,4.05,4.5,4.75,3,False,False,False,False,False,False,False,True
1994,157.0,7.2,35.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.575,5.575,4.9972972972972975,5.688235294117647,3,False,False,False,False,False,True,False,False
2007,136.0,8.1,35.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.199999999999999,6.537931034482758,6.5,6.566666666666666,3,False,False,False,False,False,False,True,False
2019,107.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,4.0,4.0,1,False,False,False,False,False,False,False,True
2017,113.0,5.5,106.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,5.5,5.5,1,False,False,False,False,False,False,False,True
2014,132.29447957614084,7.3,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333333333333333,7.3,6.033333333333334,7.3,1,False,False,False,False,False,False,False,True
2013,132.29447957614084,5.6,14.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.6,5.6,5.6,2,False,False,False,False,False,False,False,True
2012,80.0,6.8,21.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.8,6.8,6.8,6.8,3,False,False,False,False,False,False,False,True
2003,122.0,5.0,33.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.922222222222222,5.0,3.85,3,False,False,False,False,False,False,True,False
2014,149.0,6.9,35.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.25,5.616666666666667,5.6000000000000005,5.341176470588235,3,False,False,False,False,False,False,False,True
2018,148.0,6.2,35.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.166666666666667,5.978571428571429,5.652941176470588,5.550000000000001,2,False,False,False,False,False,False,False,True
1998,149.0,3.5,112.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.13125,5.123636363636364,5.375757575757576,5.7,3,False,False,False,False,False,True,False,False
2017,130.0,6.1,94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.949999999999999,6.25,6.1,6.1,1,False,False,False,False,False,False,False,True
2018,124.0,6.1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1,6.471428571428571,6.1,6.1,1,False,False,False,False,False,False,False,True
1979,121.0,7.7,52.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.35,7.35,5.027777777777778,7.7,2,False,False,False,True,False,False,False,False
2019,126.0,6.1,361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1,6.55,6.1,6.475,1,False,False,False,False,False,False,False,True
